title,genres,release_date,release_country,review_rating,movie_run_time,cast,language,filming_locations
All Saints Eve (2015),Horror,17-02-2015,USA,3.7,83 min,Marc Macaulay|Bingo O'Malley|Mere Davis|Katrina Darrell|Nicole Alexandra Shipley|Matthew Bonacci|Shawn Shelpman|Rachel Boyde|Nick LaMantia|Clifford Lynch|Eliot Preschutti|Tiffany Kemp|Scott Sullivan|John W. Iwanonkiw|Gavin A James,English,"Pittsburgh, Pennsylvania, USA"
Scrape (2013),Horror| Mystery| Thriller,01-01-2016,USA,5.3,80 min,Rick LaCour|Garrett Kruithof|Nina Leon|Alec Johnson|Penny Harville|Lorna Street Dopson|Katie Walker|Jena Waldron|Heather Bloom|Kaka Birmingham|Heather Tabor|Mallery Causey|Lemar Sain|Mike Martindale|Donnie Pitchford,English,"Shreveport, Louisiana, USA"
Escóndete (2013),Horror,01-10-2013,Spain,6.7,81 min,Víctor Sevilla|Rubén Mascato|Mariam Hernández|Raquel Arcos|Ana María Vivancos,Spanish,"Torre Pacheco, Murcia, Spain"
Dementamania (2013),Horror| Thriller,17-10-2014,UK,7,85 min,Kal Penn|Geoff Bell|Vincent Regan|John Thomson|Samuel Robertson|Holly Weston|Richard Ashton|James Oliver Wheatley|David Macey|Rebecca Reaney|Matt Healy|Aaron Cobham|Richard Crehan|Rachel Rae|Anthony Cozens,English,"York, North Yorkshire, England, UK"
666: Kreepy Kerry (2014),Horror,02-04-2014,USA,2.9,75 min,Conner Sorensen|Alexia Quinn|Justin Johnson Cortez|Torran Kitts|Kyle Dondlinger|Chase Clarke|Kirk Krause|Darcy DeMoss,English,"24389 Dry Canyon Cold Creek Road, Calabasas, California, USA"
Dead of the Nite (2013),Horror,07-01-2014,USA,2.9,86 min,Tony Todd|Joseph Millson|Cicely Tennant|Gary Mavers|Claudio Pacifico|Paul Fox|Simon Bamford|Suzi Lorraine|Simone Kaye|Stuart Boother|Rachel Littlemac|Anna Carteret|Sousila Pillay|Johnathon Farrell|Georgie Bradbury,English,"Fonmon Castle, Wales, UK"
LifeRaft (2016),Horror| Sci-Fi| Thriller,21-07-2016,USA,3.4,81 min,Anne McDaniels|Kassie Johnston|Curtis Bechdholt|Kenneth Billings|Dennis Garr|Steve Stevens Jr.|Todd Colby Pliss|Mark Laursen|Chelsea Thompson|Richard Smith|Kassie Johnston|David Dinatale,English,"Ventura County, California, USA"
You're Nobody 'til Somebody Kills You (2012),Horror| Thriller,10-07-2012,USA,3.1,86 min,James McDaniel|Michael Mosley|Nashawn Kearse|Assiatou Lea|Kevin Carroll|Neko Parham|Jacinto Taras Riddick|Suzette Gunn|Michael Kenneth Williams|David Fonteno|Jessica Blank|Kia Goodwin|Al Thompson|Doug E. Fresh|Felix Solis,English,"New York City, New York, USA"
Savage High (2015),Horror| Mystery,30-10-2015,USA,8.1,90 min,Marilyn Gonzalez|Michael Glenn|Ashley Perez|Ian Pierce|Christian Rivera|Alex Velazquez|Yetzamil Pedroza|Deliza Alcozer|Brianna Gonzalez|Jennifer Chajon|Joshua Lopez|Alen Rios|Angie Velazquez|Richàrd A. LaBon|Mathew Albuja,English,"1147 N. Western Ave, Chicago, Illinois, USA"
Classroom 6 (2015),Horror| Mystery,09-10-2015,USA,3.6,76 min,Valentina Kolaric|Mike McLaughlin|Maurice Mejia|Vince Major|Victor Manso|Jessica Amal Rice|Paul Thomas Arnold|Craig Cranic|Matt Poe|Wesley Rice|Jean-Louis Darville|Caroline Guivarch|Lauren Tess|Amanda Lee Gunnell|Devin Dygert,English|Spanish,"Glendale, California, USA"
The Warning (2015),Horror,01-03-2015,USA,4.7,91 min,Summer Moore|Jeff Allen|Christina Pascucci|Tiffany Joy Williams|Karl Brevik|Sonja Cimone|Aeon Cruz|Jamie Demeter|Lyle DeRose|Mary Ann Hogan|Bob Hurst|Ashley M. Kalfas|Grant Benjamin Leibowitz|Stefanie Smith|Pleasant Wayne,English,"Colorado Springs, Colorado, USA"
Where the Skin Lies (2017),Horror| Thriller,26-08-2017,UK,4.8,91 min,Tristan Beint|Amelia Bennett|Simon Rivers|Louise Williams|Georgia Winters|Nathan Wright|Clive Russell|Sara Jordan|Nicholas Tudor,English,"Scotland, UK"
Altergeist (2014),Horror| Sci-Fi| Thriller,07-11-2014,USA,3.9,91 min,Kristina Anapau|Mark Hapka|David Weidoff|Linsey Godfrey|Brendan Fletcher|Alexis Cruz|Sarah Oh|Olivia Stuck|Richard Sarafian Jr.|Jessica Spotts|Ed Corbin|Brooke Bonelli|Michele Boyd|Ariel Feruglio|Sarah Hass,English,"Sonoma, California, USA"
Hunting the Legend (2014),Horror| Mystery| Thriller,08-07-2014,Canada,3.5,95 min,Christopher Copeland|Hannah Wallace|Jeff Causey|Justin Steeley|Alex Ballew|Stanley T. Copeland|Jonathan Cordes|Jason Ewing|Jason Harvey|Linda Hollyfield|Emma Irvin|Becky Stewart Jones|Geoff Jones|Brittany Levan|Angel Hamilton Little,English,"Wilsonville, Alabama, USA"
House of Bad (2013),Horror| Thriller,18-05-2013,USA,3.1,96 min,Heather L. Tyler|Sadie Katz|Cheryl Bonty|Lisamarie Costabile|Clint Jung|Julia Putnam|Jim Falkenstein|Madison Wenn|Orenda Velvet Wurth,English,"Los Angeles, California, USA"
Le scaphandrier (2015),Adventure| Horror| Sci-Fi| Thriller,20-02-2015,Canada,4.5,78 min,Édith Côté-Demers|Alexandre Landry|Raymond Bouchard|Éric Gagné|Béatrice Picard|Luc Pilon|Charles Dauphinais|Jean-Guy Bouchard|Widemir Normil|Pierre Mailloux|Pascale Létourneau|Dominique Laniel|Simon Therrien|Sylvio Archambault|Jean-Philippe Debien,French,"Rimouski, Québec, Canada"
The Cook (2013),Horror,01-04-2013,USA,4.2,88 min,Jeremy Castaldo|Amber Tranum|Ashley Elizabeth Pierce|Wade Blevins|Josh Emanuel|Frank Barrett|Kitt Bender|Libby Chancellor|Brad Claggett|Gabriel Conduff|Cyrus Crane|Corey Douglas|Mathew Fasano|Jamie Lee Fife|Kristina Flinn,English,"Oklahoma, USA"
Qaqqat Alanngui (2011),Horror| Thriller,13-10-2012,Denmark,6.9,127 min,Ujarneq Fleischer|Eqaluk Høegh|Jeff Joensen|Aviaja Hegelund Johansen|Ane Sofie Kruse|Angunnguaq Larsen|Ulla Larsen Lennert|Angayo Lennert-Sandgreen|Mike Thomsen,Greenlandic,"Nuuk, Greenland"
H Project (2013),Horror,31-10-2013,Thailand,4.8,118 min,Apinya Sakuljaroensuk|Pirat Nipitpaisalkul|Alexander Rendell|Sushar Manaying|Mek Mekwattana|Shô Nishino,Thai,"Hashima Island, Nagasaki Prefecture, Japan"
Blood Rush (2012),Comedy| Drama| Horror,01-08-2012,USA,4.2,92 min,Kerry Finlayson|Don Donnelley|Christy Lee Hughes|Helen Soraya|Samantha Michelle|Emrhys Cooper|John Wuchte|Myles Cranford|Kaden Graves|J.P. Giuliotti|Danielle Reierson|Charles Iacuzzo|Granison Crawford|Amanda Barton|David Alen,English,"Los Angeles, California, USA"
